id,date,element,value,mflag,qflag,sflag,time
USW00094846,1/1/2016,WDF5,250,,,W,
USW00094846,1/1/2016,WDF2,260,,,W,
USW00094846,1/1/2016,SNWD,25,,,Z,2400
USW00094846,1/1/2016,WSF5,125,,,W,
USW00094846,1/1/2016,TMAX,-5,,,W,2400
USW00094846,1/1/2016,WSF2,98,,,W,
USW00094846,1/1/2016,AWND,64,,,W,
USW00094846,1/1/2016,SNOW,0,T,,W,
USW00094846,1/1/2016,TAVG,-48,H,,S,
USW00094846,1/1/2016,PRCP,0,T,,W,2400
USW00094846,1/1/2016,TMIN,-71,,,W,2400
USW00094846,1/2/2016,TMAX,0,,,W,2400
USW00094846,1/2/2016,WSF5,143,,,W,
USW00094846,1/2/2016,WSF2,103,,,W,
USW00094846,1/2/2016,WDF5,230,,,W,
USW00094846,1/2/2016,AWND,54,,,W,
USW00094846,1/2/2016,TMIN,-66,,,W,2400
USW00094846,1/2/2016,SNOW,0,,,W,
USW00094846,1/2/2016,PRCP,0,,,W,2400
USW00094846,1/2/2016,SNWD,30,,,W,2400
USW00094846,1/2/2016,WDF2,260,,,W,
USW00094846,1/2/2016,TAVG,-28,H,,S,
USW00094846,1/3/2016,WSF5,112,,,W,
USW00094846,1/3/2016,SNWD,30,,,W,2400
USW00094846,1/3/2016,TMAX,-16,,,W,2400
USW00094846,1/3/2016,PRCP,0,T,,W,2400
USW00094846,1/3/2016,TMIN,-55,,,W,2400
USW00094846,1/3/2016,WSF2,94,,,W,
USW00094846,1/3/2016,WDF2,340,,,W,
USW00094846,1/3/2016,SNOW,0,T,,W,
USW00094846,1/3/2016,AWND,52,,,W,
USW00094846,1/3/2016,TAVG,-29,H,,S,
USW00094846,1/3/2016,WDF5,340,,,W,
USW00094846,1/4/2016,WDF2,340,,,W,
USW00094846,1/4/2016,WSF5,103,,,W,
USW00094846,1/4/2016,TMIN,-55,,,W,2400
USW00094846,1/4/2016,SNWD,30,,,W,2400
USW00094846,1/4/2016,WSF2,89,,,W,
USW00094846,1/4/2016,WDF5,350,,,W,
USW00094846,1/4/2016,TMAX,-5,,,W,2400
USW00094846,1/4/2016,TAVG,-28,H,,S,
USW00094846,1/4/2016,PRCP,0,T,,W,2400
USW00094846,1/4/2016,SNOW,0,T,,W,
USW00094846,1/4/2016,WT01,1,,,W,
USW00094846,1/4/2016,AWND,45,,,W,
USW00094846,1/5/2016,SNOW,0,,,W,
USW00094846,1/5/2016,WDF2,210,,,W,
USW00094846,1/5/2016,WDF5,200,,,W,
USW00094846,1/5/2016,AWND,45,,,W,
USW00094846,1/5/2016,SNWD,30,,,W,2400
USW00094846,1/5/2016,TMIN,-82,,,W,2400
USW00094846,1/5/2016,TAVG,-36,H,,S,
USW00094846,1/5/2016,PRCP,0,,,W,2400
USW00094846,1/5/2016,TMAX,6,,,W,2400
USW00094846,1/5/2016,WSF2,94,,,W,
USW00094846,1/5/2016,WSF5,112,,,W,
USW00094846,1/6/2016,TMAX,22,,,W,2400
USW00094846,1/6/2016,TMIN,-60,,,W,2400
USW00094846,1/6/2016,WDF2,200,,,W,
USW00094846,1/6/2016,AWND,39,,,W,
USW00094846,1/6/2016,WDF5,200,,,W,
USW00094846,1/6/2016,PRCP,0,,,W,2400
USW00094846,1/6/2016,SNOW,0,,,W,
USW00094846,1/6/2016,WSF5,85,,,W,
USW00094846,1/6/2016,SNWD,30,,,W,2400
USW00094846,1/6/2016,TAVG,-21,H,,S,
USW00094846,1/6/2016,WSF2,72,,,W,
USW00094846,1/7/2016,SNWD,30,,,W,2400
USW00094846,1/7/2016,WDF5,120,,,W,
USW00094846,1/7/2016,WSF5,81,,,W,
USW00094846,1/7/2016,WDF2,140,,,W,
USW00094846,1/7/2016,SNOW,0,,,W,
USW00094846,1/7/2016,TAVG,22,H,,S,
USW00094846,1/7/2016,AWND,33,,,W,
USW00094846,1/7/2016,WSF2,58,,,W,
USW00094846,1/7/2016,PRCP,3,,,W,2400
USW00094846,1/7/2016,TMAX,50,,,W,2400
USW00094846,1/7/2016,TMIN,11,,,W,2400
USW00094846,1/8/2016,PRCP,48,,,W,2400
USW00094846,1/8/2016,TAVG,36,H,,S,
USW00094846,1/8/2016,TMAX,56,,,W,2400
USW00094846,1/8/2016,WDF2,130,,,W,
USW00094846,1/8/2016,WSF2,45,,,W,
USW00094846,1/8/2016,SNOW,0,,,W,
USW00094846,1/8/2016,SNWD,0,,,W,2400
USW00094846,1/8/2016,WT01,1,,,W,
USW00094846,1/8/2016,TMIN,22,,,W,2400
USW00094846,1/8/2016,AWND,29,,,W,
USW00094846,1/8/2016,WDF5,120,,,W,
USW00094846,1/8/2016,WSF5,54,,,W,
USW00094846,1/9/2016,SNOW,43,,,W,
USW00094846,1/9/2016,TMAX,44,,,W,2400
USW00094846,1/9/2016,WDF2,330,,,W,
USW00094846,1/9/2016,WSF2,116,,,W,
USW00094846,1/9/2016,WT02,1,,,W,
USW00094846,1/9/2016,WT01,1,,,W,
USW00094846,1/9/2016,TMIN,-49,,,W,2400
USW00094846,1/9/2016,WDF5,330,,,W,
USW00094846,1/9/2016,TAVG,28,H,,S,
USW00094846,1/9/2016,SNWD,0,,,W,2400
USW00094846,1/9/2016,WSF5,143,,,W,
USW00094846,1/9/2016,WT04,1,,,W,
USW00094846,1/9/2016,PRCP,69,,,W,2400
USW00094846,1/9/2016,AWND,44,,,W,
USW00094846,1/10/2016,WDF5,330,,,W,
USW00094846,1/10/2016,WDF2,330,,,W,
USW00094846,1/10/2016,PRCP,0,T,,W,2400
USW00094846,1/10/2016,SNOW,0,T,,W,
USW00094846,1/10/2016,WSF2,125,,,W,
USW00094846,1/10/2016,WSF5,165,,,W,
USW00094846,1/10/2016,AWND,79,,,W,
USW00094846,1/10/2016,TMIN,-166,,,W,2400
USW00094846,1/10/2016,TMAX,-49,,,W,2400
USW00094846,1/10/2016,SNWD,30,,,W,2400
USW00094846,1/10/2016,TAVG,-72,H,,S,
USW00094846,1/11/2016,TMAX,-43,,,W,2400
USW00094846,1/11/2016,WT08,1,,,W,
USW00094846,1/11/2016,WT01,1,,,W,
USW00094846,1/11/2016,PRCP,28,,,W,2400
USW00094846,1/11/2016,WDF2,250,,,W,
USW00094846,1/11/2016,TAVG,-149,H,,S,
USW00094846,1/11/2016,TMIN,-182,,,W,2400
USW00094846,1/11/2016,WSF5,157,,,W,
USW00094846,1/11/2016,WDF5,240,,,W,
USW00094846,1/11/2016,AWND,43,,,W,
USW00094846,1/11/2016,WSF2,116,,,W,
USW00094846,1/11/2016,SNWD,30,,,W,2400
USW00094846,1/11/2016,SNOW,79,,,W,
USW00094846,1/12/2016,WT01,1,,,W,
USW00094846,1/12/2016,PRCP,3,,,W,2400
USW00094846,1/12/2016,AWND,73,,,W,
USW00094846,1/12/2016,WDF5,280,,,W,
USW00094846,1/12/2016,SNWD,80,,,W,2400
USW00094846,1/12/2016,WT08,1,,,W,
USW00094846,1/12/2016,TMIN,-160,,,W,2400
USW00094846,1/12/2016,SNOW,3,,,W,
USW00094846,1/12/2016,WSF5,152,,,W,
USW00094846,1/12/2016,TMAX,-66,,,W,2400
USW00094846,1/12/2016,WSF2,116,,,W,
USW00094846,1/12/2016,WDF2,310,,,W,
USW00094846,1/12/2016,WT09,1,,,W,
USW00094846,1/12/2016,TAVG,-100,H,,S,
USW00094846,1/13/2016,WSF2,81,,,W,
USW00094846,1/13/2016,TMAX,-38,,,W,2400
USW00094846,1/13/2016,WSF5,103,,,W,
USW00094846,1/13/2016,SNOW,3,,,W,
USW00094846,1/13/2016,TAVG,-141,H,,S,
