day,maximum_fare,minimum_fare,avg_fare,std_dev_fare,rides
2013-01-01,910025.00,0.00,1377.74,13320.48,56953
2013-01-02,900054.00,0.00,1237.99,8560.35,36830
2013-01-03,800130.00,0.00,1233.54,10208.86,38808
2013-01-04,600046.00,0.00,1043.77,3515.89,50391
2013-01-05,300112.00,0.00,1006.10,1779.21,48354
2013-01-06,500062.00,0.00,1212.91,3813.52,37549
2013-01-07,900058.00,0.00,1237.02,7155.49,40181
2013-01-08,111205.00,0.00,1119.71,1634.24,39396
2013-01-09,900060.00,0.00,1321.98,12114.72,42454
2013-01-10,900074.00,0.00,1177.40,6281.87,50096
2013-01-11,570042.00,0.00,1099.47,3640.77,57234
2013-01-12,900176.00,0.00,1004.45,4507.06,58757
2013-01-13,61001.00,0.00,1102.30,1214.27,45409
2013-01-14,900064.00,0.00,1460.76,13842.95,44560
2013-01-15,900408.00,0.00,1367.68,13351.05,44310
2013-01-16,174003.00,0.00,1093.93,1664.37,49063
2013-01-17,700068.00,0.00,1146.46,5002.59,54235
2013-01-18,800170.00,0.00,1099.72,4017.08,64858
2013-01-19,500066.00,0.00,1016.44,3600.53,63779
2013-01-20,834024.00,0.00,1080.45,4718.66,56002
2013-01-21,900114.00,0.00,1404.27,13172.83,46171
2013-01-22,800064.00,0.00,1185.50,6988.87,55428
2013-01-23,900094.00,0.00,1405.43,13918.22,56233
2013-01-24,900100.00,0.00,1427.03,13861.19,59462
2013-01-25,900370.00,0.00,1159.39,7645.39,67792
2013-01-26,900129.00,0.00,1045.92,6290.71,66059
2013-01-27,200034.00,0.00,1105.25,1510.34,51847
2013-01-28,300070.00,0.00,1205.52,2080.39,45329
2013-01-29,200058.00,0.00,1096.49,1527.68,48657
2013-01-30,900082.00,0.00,1277.66,11084.75,53274
2013-01-31,900052.00,0.00,1190.77,7889.02,60590
2013-02-01,900179.00,0.00,1230.60,11733.49,71283
2013-02-02,900114.00,0.00,1187.95,9794.34,64175
2013-02-03,900092.00,0.00,1256.21,10002.13,51357
2013-02-04,900090.00,0.00,1446.98,12353.13,50685
2013-02-05,900110.00,0.00,1393.21,12838.50,51869
2013-02-06,900056.00,0.00,1327.29,9906.24,54311
2013-02-07,900148.00,0.00,1257.97,9348.07,64707
