id,date,element,value,mflag,qflag,sflag,time
USW00094846,2018-01-01,SNOW,0.0,,,W,
USW00094846,2018-01-01,PRCP,0.0,,,W,2400
USW00094846,2018-01-01,TMIN,-227.0,,,W,2400
USW00094846,2018-01-01,TMAX,-171.0,,,W,2400
USW00094846,2018-01-01,WDF2,310.0,,,W,
USW00094846,2018-01-01,AWND,48.0,,,W,
USW00094846,2018-01-01,WDF5,310.0,,,W,
USW00094846,2018-01-01,SNWD,30.0,,,W,2400
USW00094846,2018-01-01,WSF2,76.0,,,W,
USW00094846,2018-01-01,WSF5,103.0,,,W,
USW00094846,2018-01-01,TAVG,-189.0,H,,S,
USW00094846,2018-01-02,WSF5,134.0,,,W,
USW00094846,2018-01-02,TMIN,-227.0,,,W,2400
USW00094846,2018-01-02,SNOW,0.0,,,W,
USW00094846,2018-01-02,AWND,50.0,,,W,
USW00094846,2018-01-02,WDF5,230.0,,,W,
USW00094846,2018-01-02,WDF2,220.0,,,W,
USW00094846,2018-01-02,SNWD,30.0,,,W,2400
USW00094846,2018-01-02,TAVG,-191.0,H,,S,
USW00094846,2018-01-02,TMAX,-132.0,,,W,2400
USW00094846,2018-01-02,PRCP,0.0,,,W,2400
USW00094846,2018-01-02,WSF2,98.0,,,W,
USW00094846,2018-01-03,WDF5,220.0,,,W,
USW00094846,2018-01-03,TAVG,-114.0,H,,S,
USW00094846,2018-01-03,WT01,1.0,,,W,
USW00094846,2018-01-03,WT08,1.0,,,W,
USW00094846,2018-01-03,TMAX,-82.0,,,W,2400
USW00094846,2018-01-03,WSF5,121.0,,,W,
USW00094846,2018-01-03,SNWD,30.0,,,W,2400
USW00094846,2018-01-03,SNOW,3.0,,,W,
USW00094846,2018-01-03,WSF2,94.0,,,W,
USW00094846,2018-01-03,TMIN,-143.0,,,W,2400
USW00094846,2018-01-03,AWND,55.0,,,W,
USW00094846,2018-01-03,PRCP,0.0,T,,W,2400
USW00094846,2018-01-03,WDF2,330.0,,,W,
USW00094846,2018-01-04,TMIN,-177.0,,,W,2400
USW00094846,2018-01-04,PRCP,0.0,,,W,2400
USW00094846,2018-01-04,TMAX,-110.0,,,W,2400
USW00094846,2018-01-04,WSF2,89.0,,,W,
USW00094846,2018-01-04,WSF5,107.0,,,W,
USW00094846,2018-01-04,WDF2,330.0,,,W,
USW00094846,2018-01-04,TAVG,-139.0,H,,S,
USW00094846,2018-01-04,WDF5,330.0,,,W,
USW00094846,2018-01-04,SNOW,0.0,,,W,
USW00094846,2018-01-04,SNWD,30.0,,,W,2400
USW00094846,2018-01-04,AWND,55.0,,,W,
USW00094846,2018-01-05,TAVG,-152.0,H,,S,
USW00094846,2018-01-05,WDF5,330.0,,,W,
USW00094846,2018-01-05,PRCP,0.0,,,W,2400
